id,case_number,category_id,location_id,occurred_at,reported_at,description,mo_tags,status,priority,progress,assigned_officer_id,created_at,updated_at,dataset_provenance,source_file,source_row_ref
aa000000-0000-0000-0000-000000000001,CR-2026-BNG-001,d0000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000001,2026-07-29 12:00:00,,Cyber Crime & Online Fraud reported at Whitefield Cyber Cell Beat,"forged biometric login, micro-lending extortion",open,high,45,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,1
aa000000-0000-0000-0000-000000000002,CR-2026-BNG-002,d0000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000002,2026-07-24 12:00:00,,Cyber Crime & Online Fraud reported at KR Puram Transit Corridor,"wallet mule routing, call spoofing",open,medium,25,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,2
aa000000-0000-0000-0000-000000000003,CR-2026-MYS-001,d0000000-0000-0000-0000-000000000002,e0000000-0000-0000-0000-000000000003,2026-07-26 12:00:00,,Theft & Burglaries reported at Devaraja Market Zone,"late night lock break, scooter reconnaissance",open,high,60,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,3
aa000000-0000-0000-0000-000000000004,CR-2026-MYS-002,d0000000-0000-0000-0000-000000000002,e0000000-0000-0000-0000-000000000003,2026-07-14 12:00:00,,Theft & Burglaries reported at Devaraja Market Zone,"repeat balcony entry, jewellery targeting",closed,medium,100,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,4
aa000000-0000-0000-0000-000000000005,CR-2026-MNG-001,d0000000-0000-0000-0000-000000000003,e0000000-0000-0000-0000-000000000004,2026-07-28 12:00:00,,Narcotics Smuggling Services reported at Harbor Gate A,synthetic MDMA harbor handoff,open,critical,15,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,5
aa000000-0000-0000-0000-000000000006,CR-2026-BLG-001,d0000000-0000-0000-0000-000000000004,e0000000-0000-0000-0000-000000000005,2026-07-22 12:00:00,,Smuggling & Excise Violations reported at Khade Bazar Checkpoint,forged inter-state clearance slips,open,low,40,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,6
aa000000-0000-0000-0000-000000000007,CR-2026-BLR-001,d0000000-0000-0000-0000-000000000006,e0000000-0000-0000-0000-000000000006,2026-07-19 12:00:00,,Illegal Mining Violations reported at Ballari Mines Sector B,night mineral transport convoy,open,high,80,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,7
aa000000-0000-0000-0000-000000000008,CR-2026-KLB-001,d0000000-0000-0000-0000-000000000008,e0000000-0000-0000-0000-000000000007,2026-07-17 12:00:00,,Property Disputes reported at Chowk Survey Layout,"survey intimidation, prior offender density",closed,low,100,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,8
aa000000-0000-0000-0000-000000000009,CR-2026-HSN-001,d0000000-0000-0000-0000-000000000007,e0000000-0000-0000-0000-000000000008,2026-07-09 12:00:00,,Domestic Violence reported at Hassan City East,repeat household assault complaint,open,medium,30,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,9
aa000000-0000-0000-0000-000000000010,CR-2026-TMK-001,d0000000-0000-0000-0000-000000000005,e0000000-0000-0000-0000-000000000009,2026-07-01 12:00:00,,Assault reported at Tumkuru Industrial Road,industrial road altercation,closed,medium,100,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,10
aa000000-0000-0000-0000-000000000011,CR-2026-DWD-001,d0000000-0000-0000-0000-000000000002,e0000000-0000-0000-0000-000000000010,2026-06-27 12:00:00,,Theft & Burglaries reported at Dharwad Market Yard,market yard attempted theft,closed,low,100,c0000000-0000-0000-0000-000000000001,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,11
