id,case_id,title,description,evidence_type,status,created_by,assigned_to,storage_path,created_at,updated_at,dataset_provenance,source_file,source_row_ref
cc000000-0000-0000-0000-000000000001,aa000000-0000-0000-0000-000000000001,Evidence for CR-2026-BNG-001,Primary evidence packet for CR-2026-BNG-001,digital,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,1
cc000000-0000-0000-0000-000000000002,aa000000-0000-0000-0000-000000000002,Evidence for CR-2026-BNG-002,Primary evidence packet for CR-2026-BNG-002,digital,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,2
cc000000-0000-0000-0000-000000000003,aa000000-0000-0000-0000-000000000003,Evidence for CR-2026-MYS-001,Primary evidence packet for CR-2026-MYS-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,3
cc000000-0000-0000-0000-000000000004,aa000000-0000-0000-0000-000000000004,Evidence for CR-2026-MYS-002,Primary evidence packet for CR-2026-MYS-002,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,4
cc000000-0000-0000-0000-000000000005,aa000000-0000-0000-0000-000000000005,Evidence for CR-2026-MNG-001,Primary evidence packet for CR-2026-MNG-001,digital,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,5
cc000000-0000-0000-0000-000000000006,aa000000-0000-0000-0000-000000000006,Evidence for CR-2026-BLG-001,Primary evidence packet for CR-2026-BLG-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,6
cc000000-0000-0000-0000-000000000007,aa000000-0000-0000-0000-000000000007,Evidence for CR-2026-BLR-001,Primary evidence packet for CR-2026-BLR-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,7
cc000000-0000-0000-0000-000000000008,aa000000-0000-0000-0000-000000000008,Evidence for CR-2026-KLB-001,Primary evidence packet for CR-2026-KLB-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,8
cc000000-0000-0000-0000-000000000009,aa000000-0000-0000-0000-000000000009,Evidence for CR-2026-HSN-001,Primary evidence packet for CR-2026-HSN-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,9
cc000000-0000-0000-0000-000000000010,aa000000-0000-0000-0000-000000000010,Evidence for CR-2026-TMK-001,Primary evidence packet for CR-2026-TMK-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,10
cc000000-0000-0000-0000-000000000011,aa000000-0000-0000-0000-000000000011,Evidence for CR-2026-DWD-001,Primary evidence packet for CR-2026-DWD-001,document,Pending,IO-3921,,,2026-08-01 12:00:00,2026-08-01 12:00:00,demo,saksha_full_setup.sql,11
